名称,J_shopt href,地址,city,经纬度,tel,time,北京树村丽景苑距离,北京树村丽景苑时间,北京海淀区万家灯火大厦距离,北京海淀区万家灯火大厦时间,北京海淀区上地5号咖啡厅距离,北京海淀区上地5号咖啡厅时间
HEA,https://www.dianping.com/shop/H2O7DJAk9Utn7lZL,环城西路南段1号天品西岸一层1-15A室,[西安],"108.923603,34.253355",13363971712,2024/7/18 10:12,,,,,,
湘临天下,https://www.dianping.com/shop/G3yDTj3yvrk1v80V,建国路128号中航工业大厦2层,[北京],"116.463969,39.906286",65120999,2024/7/15 23:53,33.35 km,57 min,28.82 km,104 min,25.25 km,91 min
胶东刘妈妈肉汁饺子,https://www.dianping.com/shop/l8NXi4o7L0mDfHss,798艺术区3818库（悦美术馆对面冰淇淋饮料店后面的小胡同里）,[北京],"116.495027,39.983285",15953551403,2024/7/10 11:31,22.73 km,48 min,25.88 km,101 min,22.27 km,83 min
泸州幺妹私房菜,https://www.dianping.com/shop/G7QrVYG45X3FYSOC,学院路37号,[北京],"116.350943,39.980626",18201061371,2024/7/10 11:02,12.06 km,21 min,13.43 km,55 min,7.76 km,33 min
盛中钰广味小馆,https://www.dianping.com/shop/G4F3o7XktSE7x7MY,革新里60号盛购文体礼品中心,[北京],"116.394369,39.865940",67069168,2024/7/9 10:46,29.82 km,49 min,32.07 km,98 min,30.45 km,85 min
马年代涮肉小海鲜,https://www.dianping.com/shop/k8PX4jEtbXnNUYUi,庑殿路10号院1-9,[北京],"116.443493,39.808981",17170133666,2024/7/8 20:37,41.22 km,50 min,43.92 km,105 min,41.85 km,92 min
南昌花姐小吃·拌粉·水煮,https://www.dianping.com/shop/k2Og3UVvAWwijmPw,郁花园一里底商21号楼1-102,[北京],"116.338105,39.774568",15079077530,2024/7/8 20:35,43.18 km,48 min,49.27 km,108 min,43.81 km,93 min
安妮意大利餐厅,https://www.dianping.com/shop/l8Wegnb7sZobtRXg,成府路35号东源大厦3层（近五道口地铁站）,[北京],"116.338611,39.992552",62573122,2024/7/8 9:29,8.28 km,22 min,12.47 km,52 min,6.80 km,30 min
利桥顺酒楼,https://www.dianping.com/shop/G93IiQWXaiu9EowH,学院路街道志新路16号(北方鑫柜西侧),[北京],"116.366341,39.993549",82380050,2024/7/8 9:28,9.83 km,23 min,12.81 km,53 min,8.35 km,32 min
多味居,https://www.dianping.com/shop/k6qgMjDQExfT75tR,府学胡同与中剪子巷交叉口西南角,[北京],"116.411946,39.935733",64065305,2024/7/8 9:27,19.01 km,42 min,21.48 km,82 min,17.91 km,63 min
北平楼烤鸭·京菜,https://www.dianping.com/shop/k6Myr1ttLWr9bcKx,花园路街道牡丹园西里16号楼1-2层（牡丹园地铁站F口步行200米）,[北京],"116.370262,39.977972",82082197,2024/7/8 9:27,14.95 km,26 min,15.38 km,58 min,11.81 km,40 min
清真·鸦儿李记·涮肉,https://www.dianping.com/shop/G3jqOKHidE7IeCRo,和平里西街67号（近地铁5号线和平里北街站）,[北京],"116.418054,39.958190",64295466,2024/7/8 9:25,17.52 km,33 min,20.00 km,70 min,16.42 km,53 min
福叁咖啡&小红帽三明治,https://www.dianping.com/shop/laKgmeBMpQvW3WDy,美术馆东街22号北配楼1层,[北京],"116.411337,39.926144",15901088582,2024/7/7 13:06,19.88 km,44 min,22.36 km,86 min,18.78 km,66 min
拉蒂娜·巴西牛排馆 Latina·Brazilian Steakhouse,https://www.dianping.com/shop/k1B0wQY3UeBscMOn,东方东路19号亮马桥外交办公大楼官舍2楼201号,[北京],"116.463936,39.951686",85315287,2024/7/6 10:19,21.49 km,40 min,23.96 km,80 min,20.39 km,64 min
北焰牛排馆·BBQ烤房 FireWorks,https://www.dianping.com/shop/l6WCOpGAlFti0r5T,北苑路18号院4号楼1层4、5号（地铁5号线立水桥南站C口往北50米辅路路东）,[北京],"116.416257,40.046237",64112665,2024/7/6 9:48,14.24 km,37 min,16.25 km,69 min,12.63 km,53 min
曦彤轩饭店,https://www.dianping.com/shop/H6oTVdICVsNEeOzi,崇文门东大街8-1号,[北京],"116.429598,39.900363",18515464723,2024/7/5 22:10,27.68 km,57 min,29.06 km,110 min,25.48 km,89 min
许太阳炸鸡拌面,https://www.dianping.com/shop/kat8rE6QnWQWKP8d,阜成门外大街2号万通金融中心负一层顺天府超市出口许太阳炸鸡店,[北京],"116.354261,39.922911",13683571830,2024/7/4 11:53,17.99 km,33 min,20.73 km,73 min,18.63 km,51 min
第六季自助餐厅,https://www.dianping.com/shop/G5CTC8xkPnc5kofr,中关村大街27号中关村大厦2层,[北京],"116.316427,39.977667",82888189,2024/7/3 23:55,8.06 km,21 min,10.10 km,43 min,6.58 km,27 min
牛排哈特,https://www.dianping.com/shop/H1OrRCvM6mj16GKW,安波路998号创智汇内2号楼1楼,[上海],"121.520890,31.300750",18821151147,2024/7/3 22:29,,,,,,
Laksa Queen 叻沙娘娘,https://www.dianping.com/shop/G8EZt8YW64rQOHJU,霄云路后街15-75号,[北京],"117.150689,40.690334",82062368,2024/7/3 17:40,143.92 km,124 min,151.50 km,140 min,142.31 km,161 min
黑知了Burning Fire,https://www.dianping.com/shop/k33JjNB6XpnVr3Bn,天泽路9号（美国大使馆东门对面）,[北京],"116.467352,39.954463",17278151315,2024/7/3 17:39,25.52 km,41 min,26.27 km,94 min,22.65 km,77 min
黄金周·美味流香店,https://www.dianping.com/shop/G4kev1PpcKCiRDLE,育慧南路芍药居5号院9号楼（对外经贸大学东门对面）,[北京],"116.431323,39.981450",13552944531,2024/7/3 17:18,19.81 km,29 min,22.81 km,78 min,19.20 km,65 min
鱼痴渔醉·食鲜集,https://www.dianping.com/shop/l9tEre3QwRTeJdxX,沿江大道汉口江滩江汉门32号,[武汉],"114.300999,30.581420",82877979,2024/7/3 15:24,,,,,,
董厨煨汤馆,https://www.dianping.com/shop/H2ie9yi0fjDUqJk5,车站路33号（正兴堂药店旁边）,[武汉],"114.134857,30.334115",18771048668,2024/7/3 15:23,,,,,,
靓靓蒸虾·头牌蒸虾,https://www.dianping.com/shop/k6CzLcEzlMxIB852,雪松路安全村4栋101、102、103号铺,[武汉],"114.269444,30.593265",58908820,2024/7/3 15:21,,,,,,
渔哥·湛江,https://www.dianping.com/shop/FwWFtPSVj4zPtF6B,延安西路358号美丽园大厦1楼,[上海],"121.439103,31.218815",13916906148,2024/7/3 15:15,,,,,,
老吉士酒家,https://www.dianping.com/shop/k175tm2mcNdosVCq,天平路41号（近淮海中路）,[上海],"121.437935,31.203148",62829260,2024/7/3 14:56,,,,,,
鲁采LU STYLE,https://www.dianping.com/shop/iVSTrOVWJBX3eNMY,凤凰环路曙光西里甲5号院A1楼链家（凤凰汇店）北侧（曙光大厦对面）,[北京],"116.487294,39.795573",21751888,2024/7/3 14:55,25.05 km,37 min,25.79 km,89 min,22.18 km,74 min
ORioEatery·Brunch,https://www.dianping.com/shop/G6ypT0oUtGP1rZ2v,京顺路5号1959时间里A01号,[北京],"116.453348,39.964179",59773055,2024/7/3 14:48,24.89 km,36 min,25.64 km,89 min,22.02 km,73 min
醉虎传,https://www.dianping.com/shop/k5rBhqPrcWYSTdBz,双榆树一街双榆树北里甲18-2号（当代商场北侧东100米路北）,[北京],"116.323765,39.971439",15910573717,2024/7/3 10:26,12.11 km,24 min,14.81 km,47 min,7.65 km,30 min
谢谢牛·塔吉锅露台小酒社,https://www.dianping.com/shop/G2aUdfkVaR1TNy3o,"鼓楼东大街草厂胡同2号,蜜雪冰城东侧胡同往北10米（近后海、鼓楼、南锣鼓巷、方砖厂）",[北京],"116.402394,39.937182",17610229311,2024/7/2 23:38,17.68 km,39 min,20.15 km,73 min,16.57 km,57 min
BOTTEGA意库,https://www.dianping.com/shop/k5RFLtVpXDqmkhCu,金汇路中骏世界城E座1层101内E116B、E118单元,[北京],"116.452497,39.917923",65915348,2024/7/2 23:16,25.68 km,53 min,28.15 km,99 min,24.57 km,85 min
巴蜀石锅鱼,https://www.dianping.com/shop/G3oiASnRRbsqLyuo,台东六路28号（威海路工商银行后50米）,[青岛],"120.354431,36.085773",13780664423,2024/7/2 23:14,,,,,,
魁圣阁内蒙烧麦,https://www.dianping.com/shop/l60e3V1NH2hbRiKt,清华东路中国农业大学东校区东南门底商（瑞幸咖啡楼上）,[北京],"116.358383,40.001504",18618161205,2024/7/2 21:04,8.93 km,22 min,12.40 km,51 min,7.45 km,31 min
挤挤吧·酸菜鲜牛杂火锅,https://www.dianping.com/shop/l27AhxLX6yeEXt2l,八里庄街道十里堡南里西路北京印染厂南院163幢1-3,[北京],"116.501246,39.913211",16619943097,2024/7/2 21:04,30.99 km,57 min,31.73 km,106 min,28.12 km,96 min
鷄鈴CHILEN,https://www.dianping.com/shop/H39wphAjVXcLbsee,霄云路东信商业广场2楼,[北京],"116.463046,39.958222",13167559857,2024/7/1 10:55,25.17 km,40 min,23.50 km,79 min,19.93 km,62 min
Sub° 减法·WineBistro&Cellar,https://www.dianping.com/shop/k78uVORJKSbhSDB9,幸福一村西里甲6号,[北京],"116.448383,39.934783",13911291751,2024/7/1 10:55,27.85 km,44 min,25.40 km,83 min,21.82 km,69 min
枡·Masu 烧鸟居酒屋,https://www.dianping.com/shop/EqW6uRVRnyrSdKaw,朝阳北路龙湖长楹天街东区星座6栋东行15米,[北京],"116.601478,39.923974",18410034191,2024/6/30 20:06,34.74 km,73 min,36.75 km,116 min,33.13 km,97 min
匠牛饺子·酱牛肉·饺子馆,https://www.dianping.com/shop/ka1uSBZY548vGiHy,顺源街5号,[北京],"116.457236,39.952600",50944979,2024/6/30 19:25,20.74 km,37 min,23.21 km,76 min,19.64 km,60 min
壹佳烤肉,https://www.dianping.com/shop/D4bFiTGifQf75eYj,红埠街3号,[西安],"108.942895,34.267549",18109185531,2024/6/30 14:34,,,,,,
汉巴味德,https://www.dianping.com/shop/l7qg4yTeA0U0es9Q,万丰路68号银座和谐广场6层603号,[北京],"116.297342,39.882318",57517676,2024/6/29 22:12,20.61 km,36 min,23.32 km,84 min,21.25 km,67 min
小鳥商店·烧鸟,https://www.dianping.com/shop/H2OTovYWXxGaPgm1,北四环东路108号伊藤洋华堂5层,[北京],"116.420507,39.988041",15701622920,2024/6/29 22:06,18.32 km,27 min,17.16 km,66 min,13.58 km,56 min
醉香 SUIKA,https://www.dianping.com/shop/H8VzuEcPMenIFMqf,农展馆北路宾都苑东侧一层底商一番街西馆,[北京],"116.471519,39.945105",85958830,2024/6/29 12:00,23.07 km,42 min,25.54 km,85 min,21.96 km,68 min
圆场·CIRCLE URBAN BRUNCH&BAR,https://www.dianping.com/shop/l5Vj7PLxkSuvurO8,"北三环西路大钟寺广场2号楼1733商业空间B2-02号（喜茶西侧,跳海对面）",[北京],"116.344441,39.948999",18513515304,2024/6/28 23:01,13.13 km,25 min,16.51 km,62 min,9.55 km,40 min
丸道·东京烧肉,https://www.dianping.com/shop/l4GXdkjCrRfRMz2r,麦子店街39号富驿时尚酒店底商,[北京],"116.466643,39.947902",65929298,2024/6/28 14:06,22.17 km,41 min,24.64 km,83 min,21.07 km,66 min
望牛滇·云南酸菜牛肉火锅,https://www.dianping.com/shop/G1ihbwMTXybCCu9W,霄云路32号（网信大厦西侧20米）,[北京],"116.465747,39.958539",15727332437,2024/6/26 17:59,25.30 km,41 min,26.05 km,93 min,22.43 km,77 min
之间In Between,https://www.dianping.com/shop/H4bp5Y0d5LfH3KpP,幸福一村七巷幸福一村西里（Charcoal煤球餐厅旁边）,[北京],"116.446900,39.935083",13241542080,2024/6/26 17:57,28.23 km,45 min,26.62 km,93 min,23.05 km,78 min
PHO東田越南粉,https://www.dianping.com/shop/l9HZ7jueGuJ9qdbp,建国门外大街1号国贸商城北区六层NL6003号,[北京],"116.460554,39.912250",85351086,2024/6/26 17:42,25.37 km,53 min,27.84 km,99 min,24.26 km,85 min
新京熹·北京涮肉,https://www.dianping.com/shop/l83FB0h0E7sivWxD,北辰西路北辰荟POLPASC座3层L313号,[北京],"116.387761,40.003452",13810698243,2024/6/26 17:40,13.18 km,28 min,15.18 km,61 min,11.57 km,43 min
日坛涮肉,https://www.dianping.com/shop/H5YDGzifOJTV1CB2,日坛东路9号,[北京],"116.446179,39.914614",85625558,2024/6/26 17:39,24.48 km,49 min,26.95 km,110 min,23.38 km,82 min
TWM白蛾 Wine Bistro,https://www.dianping.com/shop/H2xlY6hQ3FJfwDCh,"金宝街88号1层底商（金宝汇一期,一层南侧地库入口旁边）",[北京],"116.421264,39.915358",17812319262,2024/6/26 17:38,21.47 km,51 min,23.94 km,92 min,20.37 km,75 min
NOLA,https://www.dianping.com/shop/G14QH5ev4rS1aYF9,朝外街道秀水南街甲11号(友谊商店东北角),[北京],"116.443640,39.910193",13366188770,2024/6/26 17:36,27.24 km,55 min,29.71 km,103 min,26.13 km,88 min
OTIUM • 柴屿麦,https://www.dianping.com/shop/GaDcHe7SbhVbMnoB,麦子店街39号二层208室（富驿时尚酒店二层旋转楼梯左侧第一家）,[北京],,13146580816,2024/6/26 17:35,,,,,,
野风筝Brewpub,https://www.dianping.com/shop/l3wqsBnEYIjyDC7l,安定门街道花园胡同3号紫园内（进园区左转）,[北京],"116.404692,39.947714",64022988,2024/6/26 17:34,17.31 km,32 min,19.78 km,69 min,16.21 km,47 min
丰泽园饭店,https://www.dianping.com/shop/k7ZsU0QcDA42ahMn,安立路78号中奥马哥孛罗大酒店,[北京],"116.408663,40.005002",59636428,2024/6/25 10:09,14.47 km,29 min,16.47 km,66 min,12.86 km,48 min
蓉亭食贝,https://www.dianping.com/shop/H7R85GXqIwtDA8Rd,大屯北路312号金泉美食宫1楼,[北京],"116.412325,40.006097",68058989,2024/6/25 10:08,14.12 km,27 min,16.13 km,65 min,12.51 km,46 min
满姐饺子,https://www.dianping.com/shop/k2tcEIvmMwIfIPOb,花园北路44号贯通大厦一层,[北京],"116.359476,39.981265",62056567,2024/6/25 10:07,14.40 km,24 min,15.14 km,62 min,10.01 km,38 min
羊瑞堂·陕西风味,https://www.dianping.com/shop/G82uNl0CzcDJBvgT,华威里27号长安大饭店门前附属楼3层（原秦乐宫）,[北京],,52029838,2024/6/15 12:28,35.63 km,55 min,32.41 km,112 min,28.84 km,99 min
羊瑞堂·铁锅炖小公羊,https://www.dianping.com/shop/l9yWdRLZRBRxOmHA,凤城二路27号天心大厦1楼,[西安],"108.940903,34.318166",18829787777,2024/6/15 12:28,,,,,,
1218 GRILL 主厨,https://www.dianping.com/shop/H7TAt2Z6VAqLvULM,北山桥头大街230号北山科创汇103号,[广州],"113.374130,23.089513",13719309473,2024/5/30 20:36,,,,,,
豚胜·炸猪扒专门店,https://www.dianping.com/shop/H9fuT3pMJSpIPPun,天河路611号天娱广场负一楼友见地,[广州],"113.339996,23.135703",18922206399,2024/5/29 21:24,,,,,,
作·做WE DO COFFEE,https://www.dianping.com/shop/k2FlzenRb7PPDWCS,华康小区华康街66号102室,[广州],"113.330781,23.138485",19927639980,2024/5/29 14:00,,,,,,
三吨计划SATURN·光晕HALO,https://www.dianping.com/shop/k1Q3sXhyjVuQaefH,华康街侨景大厦西门1楼104-2（华康街北门入口）,[广州],"113.331068,23.138858",13316223749,2024/5/29 13:55,,,,,,
HAY COFFEE,https://www.dianping.com/shop/k95TLRMycFCcOZEa,侨怡一街43号,[广州],"113.331111,23.141177",19157447466,2024/5/29 13:51,,,,,,
脏像素书店,https://www.dianping.com/shop/G30HJaslUJr8PYBA,天寿路35号1层自编A03房,[广州],"113.325448,23.149149",15202097639,2024/5/29 13:04,,,,,,
来我家做客,https://www.dianping.com/shop/k4ydbRyoj1j9EiaA,江南西路紫山大街6号103,[广州],"113.268838,23.094375",19128729040,2024/5/29 10:45,,,,,,
鑫粤福顺德干蒸店,https://www.dianping.com/shop/G5ZLLCn3kNoo0Ere,八里庄东里1号A区1号楼1层09a号,[北京],"116.498903,39.914251",16601231567,2024/5/29 10:43,30.73 km,57 min,31.48 km,107 min,27.86 km,96 min
East end,https://www.dianping.com/shop/H20fG53aTCheFTpH,工人体育场北路甲2号盈科中心一层,[北京],"116.458974,39.932654",,2024/5/28 19:25,23.41 km,45 min,25.88 km,92 min,22.30 km,76 min
强记竹升面,https://www.dianping.com/shop/l7OhP0zKfly5pM9L,建设中马路东十二街1号之一自编10号-1,[广州],"113.411619,23.125203",13824445873,2024/5/28 16:31,,,,,,
惠食佳,https://www.dianping.com/shop/H7fXoNAkafmesfFG,东风东路760号,[广州],"113.302309,23.131514",87339888,2024/5/28 13:08,,,,,,
13FACTORIES十三行,https://www.dianping.com/shop/l9zn4BvH2mypWnui,猎德街道珠江新城华穗路121号保利香槟南门,[广州],"113.318092,23.116886",38849230,2024/5/28 13:04,,,,,,
银灯食府,https://www.dianping.com/shop/H3GjwAxmofkZoqgq,"西堤二马路37号广州十三行文化科技中心3楼（近文化公园地铁站A、B出口,近广州文化公园正门）",[广州],"113.251622,23.108648",81008291,2024/5/28 13:01,,,,,,
张老伯新会陈皮膳食专门店,https://www.dianping.com/shop/H5JCtUPHiD638S9L,花城大道路2号首层32-36号,[广州],"113.315928,23.119236",88525036,2024/5/28 13:00,,,,,,
霞姐家钵子菜,https://www.dianping.com/shop/k1UhEzquGs66P54l,酒仙桥路大山子北里三号楼,[北京],"116.487009,39.984979",13001057983,2024/5/27 18:46,22.06 km,49 min,25.20 km,101 min,21.59 km,84 min
粤小馆,https://www.dianping.com/shop/G7Sr1K4IbdmlxApH,安苑路甲18号1幢一层,[北京],"116.415774,39.983086",64929489,2024/5/27 18:46,18.15 km,28 min,16.98 km,65 min,13.40 km,53 min
宁强核桃馍,https://www.dianping.com/shop/H6VeXUE15NgwQs2c,中山街与公安巷交叉口南15米路西,[汉中],"107.028262,33.068006",13484858958,2024/5/27 18:26,,,,,,
宁强核桃馍,https://www.dianping.com/shop/l3qJHmOCTnv06gdb,李家村秋林公司,[西安],"108.962987,34.245591",13892996464,2024/5/27 18:26,,,,,,
虎家烤肉,https://www.dianping.com/shop/H2oiJABumXFlpHNY,东二路与化育巷交口南行50米,[西安],"108.968299,34.266047",13720753479,2024/5/27 18:22,,,,,,
韩国料理故乡菜包肉,https://www.dianping.com/shop/H6MAH6e3qm9VBFsE,学院路7号弘彧大厦3A层,[北京],"116.351235,40.000232",15811176770,2024/5/27 15:33,8.03 km,20 min,11.67 km,52 min,6.55 km,29 min
听枫馆TRPG 跑团社,https://www.dianping.com/shop/kaTqigxW9MLuepMX,北三环西路48号1号楼A座3层3H,[北京],"113.657309,23.054712",13693117457,2024/5/26 14:59,2168.02 km,1355 min,2174.11 km,1420 min,2168.65 km,1412 min
西部马华牛肉面·夜市烧烤,https://www.dianping.com/shop/G72QTErSO3enaQ1G,信息路金隅嘉华大厦c座1层C10号,[北京],"116.308151,40.036843",62965068,2024/5/25 18:54,1.34 km,8 min,3.36 km,16 min,0.95 km,5 min
一面一串·兰州牛肉面烧烤,https://www.dianping.com/shop/l2TJVtExKdCtJpdz,信息路科实大厦A座一层,[北京],"116.311828,40.035352",13126875685,2024/5/25 18:53,2.16 km,11 min,4.21 km,22 min,0.44 km,4 min
小菜一碟,https://www.dianping.com/shop/H2Pgkq3em1aHKgMX,新华路街道杨宅路91号(近新华路),[上海],"121.419087,31.205917",62803323,2024/5/25 17:17,,,,,,
沃野Oii,https://www.dianping.com/shop/G6wTsz3JJoio4vy6,和平里街道安德里北街恒通伟业大厦B座一层,[北京],"116.398021,39.955676",84118490,2024/5/25 11:39,20.10 km,33 min,18.50 km,67 min,14.93 km,49 min
古砂记·武陟古法砂锅斋,https://www.dianping.com/shop/G1HpumGU65yPzQC5,汤立路安徽牛肉板面旁（地铁立水桥站西北口向北200米）,[北京],"116.412956,40.052604",15701195891,2024/5/25 11:21,14.57 km,35 min,16.57 km,67 min,12.96 km,50 min
酒鬼金居酒屋のんべい,https://www.dianping.com/shop/G1ibuoenXYL4vhJw,学清路8号科技财富中心A座一层A103C,[北京],"116.353712,40.015750",82412410,2024/5/24 22:14,7.19 km,21 min,10.19 km,44 min,6.57 km,24 min
陆藜·开了个方子,https://www.dianping.com/shop/l67KDspMLJjK961l,中关村大街49号(威尔默口腔)东侧商铺,[北京],"116.318402,39.972281",13311293273,2024/5/24 22:13,8.73 km,24 min,10.76 km,46 min,7.25 km,29 min
田莽莽贵州特色烙锅烤肉,https://www.dianping.com/shop/EDXylyBaiJsnDLFa,中关村大街49号,[北京],"116.318402,39.972281",18732074515,2024/5/24 22:13,8.73 km,24 min,10.76 km,46 min,7.25 km,30 min
水石餐吧&Whiskey,https://www.dianping.com/shop/H2qjdiRu8FnJHXC0,九棵树西路92号东朗文创园（进园区左前方）,[北京],"116.644700,39.877593",13261839780,2024/5/23 21:44,,,,,,
食客西餐厅 TIME CAFE,https://www.dianping.com/shop/GaHNABcOhQiQw9hE,东三环中路39号建外SOHO西区10号楼商铺3层1038室（临近通惠河北路）,[北京],"116.455114,39.904892",13901042495,2024/5/22 19:32,34.25 km,57 min,28.90 km,103 min,25.32 km,89 min
邵合記江南小吃集,https://www.dianping.com/shop/G57CRxP6vOF8AiYO,建国门外大街国贸商城北区地下一层,[北京],"116.459930,39.912345",65852397,2024/5/22 11:34,25.45 km,53 min,27.92 km,99 min,24.34 km,86 min
大福龙虾烧烤·醋喷烤鸡架,https://www.dianping.com/shop/l9Ara7PNAg4KTZRj,红军营南路6号一层-10（集美家居斜对面）,[北京],"116.424177,40.032327",84933846,2024/5/22 11:31,14.23 km,30 min,16.24 km,66 min,12.62 km,49 min
食好點·港點·粤菜,https://www.dianping.com/shop/l7IBCtbF9TUp4B7t,金融街购物中心2层202-L212,[北京],"116.359847,39.915415",13322878276,2024/5/22 11:16,20.54 km,36 min,21.37 km,76 min,16.24 km,60 min
Yaya’s,https://www.dianping.com/shop/G2CGwAouRVmksd76,铜仁路329号（MANNER旁）,[上海],"121.449422,31.227263",19921344145,2024/5/22 11:10,,,,,,
Z.Flower Coffee 咖啡·西餐·甜点,https://www.dianping.com/shop/EW93AZERLk3eKqYK,信息路15号金融科贸大厦南门停车场入口处底商,[北京],"116.309494,40.037309",19520302663,2024/5/20 10:14,1.79 km,10 min,3.85 km,21 min,0.78 km,7 min
Alimentari Grande,https://www.dianping.com/shop/k667tWVeK9q3qlVY,"南三里屯1号T+MALL,L1,12-13",[北京],"116.454934,39.933189",53398876,2024/5/20 10:04,24.38 km,47 min,26.85 km,93 min,23.27 km,78 min
FOODBOWL超级碗,https://www.dianping.com/shop/l7EWISVL1hET2Wov,上地三街九号金隅嘉华大厦A一层座A-20,[北京],"116.307951,40.036804",15321778119,2024/5/19 13:24,1.32 km,8 min,3.35 km,17 min,0.93 km,5 min
DEYEE DESSERT 得意地甜品,https://www.dianping.com/shop/iEQbTuu7LfRTX9i8,回南北路公园悦府底商115号,[北京],"116.354571,40.090390",17801318657,2024/5/19 12:18,12.94 km,34 min,12.21 km,44 min,13.31 km,43 min
南京大牌档,https://www.dianping.com/shop/G87UN2D8m9E1Sf1u,清河中街68号清河万象汇西区4层,[北京],"116.332712,40.029732",62912007,2024/5/17 20:13,3.80 km,14 min,5.88 km,32 min,2.34 km,15 min
赛先生的咖啡馆·简餐,https://www.dianping.com/shop/l6GwltAQ3Je06S4f,安宁庄后街2号2栋102室,[北京],"116.330314,40.050970",13331931416,2024/5/16 13:52,4.67 km,17 min,4.63 km,30 min,3.57 km,19 min
上地五号咖啡厅,https://www.dianping.com/shop/G56dYeEVQ0NMbTmp,上地东路5号院4号楼1层102室(京蒙高科A座一楼圆厅),[北京],"116.304702,40.050882",15200135322,2024/5/16 13:49,3.71 km,15 min,2.50 km,15 min,2.61 km,22 min
蘭亭永,https://www.dianping.com/shop/H9MOlNjoRP50XKf4,恤孤院路18号,[广州],"113.296522,23.118785",18127989805,2024/5/12 18:55,,,,,,
金姨饭堂,https://www.dianping.com/shop/k7tqMom8QyrTaBZA,东圃二马路69-17,[广州],"113.401120,23.111700",13710897871,2024/5/8 22:35,,,,,,
魏客Channel We Coffee,https://www.dianping.com/shop/k5Ph1sUiuz2bI0QL,锦业路中铁西安中心10106号,[西安],"108.883858,34.193080",17309235323,2024/5/7 19:23,,,,,,
宜记天水麻辣烫,https://www.dianping.com/shop/H5BdQl16lCZkSa17,中天健广场4号楼105号商铺,[兰州],"103.765141,36.071262",18793114191,2024/5/3 19:59,,,,,,
熏肉大饼,https://www.dianping.com/shop/G8Xb7hcNuAdmGigc,建章南路(近三桥车辆厂),[西安],"108.835276,34.288230",13468605718,2024/5/3 13:21,,,,,,
